"customer_id","customer_name","gender","age","email","phone","occupation","annual_income","customer_since","customer_status","account_no","account_name","balance","account_status","nominee_registered","opening_date","branch_name","branch_city","branch_state","address_type","city","state","pincode"
1,"Vivek Yadav","M",55,"vivek.yadav1@gmail.com","9729397785","Teacher",2496681.00,"2026-03-22","Active",100100000000,"Savings Account",313070.00,"Active",True,"2020-11-05","SBI Patna Branch 17","Patna","Bihar","Permanent","Hyderabad","Telangana","244025"
2,"Neha Gupta","F",43,"neha.gupta2@outlook.com","9478102097","Lawyer",3561517.00,"2024-10-05","Inactive",100100000001,"NRI Savings Account",471428.00,"Active",True,"2019-01-13","SBI Bhubaneswar Branch 22","Bhubaneswar","Odisha","Permanent","Hyderabad","Telangana","261787"
3,"Amit Kumar","M",41,"amit.kumar3@gmail.com","9069851083","Designer",4301041.00,"2016-10-02","Inactive",100100000002,"Savings Account",252208.00,"Closed",False,"2023-03-13","SBI Kolkata Branch 42","Kolkata","West Bengal","Permanent","Pune","Maharashtra","370456"
4,"Ankit Chauhan","M",24,"ankit.chauhan4@yahoo.com","9388040698","Accountant",3796832.00,"2016-10-09","Active",100100000003,"Fixed Deposit Account",338854.00,"Active",False,"2018-03-14","SBI Pune Branch 11","Pune","Maharashtra","Permanent","Jaipur","Rajasthan","755769"
5,"Amit Reddy","M",59,"amit.reddy5@yahoo.com","9090146252","Doctor",531404.00,"2016-10-23","Active",100100000004,"Salary Account",480949.00,"Active",True,"2024-07-05","SBI Bhopal Branch 39","Bhopal","Madhya Pradesh","Permanent","Chennai","Tamil Nadu","235760"
6,"Meena Singh","F",29,"meena.singh6@yahoo.com","9626323171","Doctor",1253368.00,"2022-11-24","Active",100100000005,"Savings Account",455458.00,"Dormant",True,"2021-01-24","SBI Nagpur Branch 34","Nagpur","Maharashtra","Permanent","Bengaluru","Karnataka","690454"
7,"Neha Gupta","F",64,"neha.gupta7@yahoo.com","9983163025","Student",3170816.00,"2015-07-16","Active",100100000006,"Savings Account",410178.00,"Active",True,"2021-03-22","SBI Surat Branch 3","Surat","Gujarat","Permanent","Bengaluru","Karnataka","172406"
8,"Neha Gupta","F",25,"neha.gupta8@gmail.com","9926581725","Lawyer",876038.00,"2015-11-25","Active",100100000007,"Senior Citizen Savings Account",397228.00,"Active",False,"2020-01-23","SBI Delhi Branch 14","Delhi","Delhi","Permanent","Hyderabad","Telangana","552915"
9,"Rohit Chauhan","M",60,"rohit.chauhan9@gmail.com","9873912596","Farmer",3018112.00,"2022-03-18","Active",100100000008,"Savings Account",94929.00,"Active",True,"2022-12-16","SBI Surat Branch 4","Surat","Gujarat","Permanent","Bengaluru","Karnataka","652695"
10,"Divya Patel","F",26,"divya.patel10@outlook.com","9756837281","Student",3341306.00,"2026-09-28","Active",100100000009,"NRI Savings Account",165239.00,"Active",False,"2022-04-26","SBI Nagpur Branch 34","Nagpur","Maharashtra","Permanent","Chennai","Tamil Nadu","308509"
11,"Komal Pandey","F",62,"komal.pandey11@gmail.com","9579236076","Data Analyst",4880912.00,"2025-02-07","Active",100100000010,"Savings Account",468660.00,"Active",True,"2023-11-11","SBI Surat Branch 29","Surat","Gujarat","Permanent","Chennai","Tamil Nadu","477151"
12,"Vivek Mishra","M",54,"vivek.mishra12@gmail.com","9132708125","Student",3952860.00,"2019-10-08","Blocked",100100000011,"Student Account",450876.00,"Dormant",True,"2024-11-11","SBI Gurugram Branch 36","Gurugram","Haryana","Permanent","Hyderabad","Telangana","443161"
13,"Nitin Yadav","M",53,"nitin.yadav13@yahoo.com","9271810778","Farmer",4020402.00,"2015-08-24","Active",100100000012,"Recurring Deposit Account",448082.00,"Dormant",True,"2026-05-12","SBI Bengaluru Branch 16","Bengaluru","Karnataka","Permanent","Mumbai","Maharashtra","635396"
14,"Sneha Nair","F",56,"sneha.nair14@outlook.com","9352520867","Teacher",3207572.00,"2026-01-02","Active",100100000013,"Fixed Deposit Account",570328.00,"Closed",True,"2018-04-12","SBI Nagpur Branch 34","Nagpur","Maharashtra","Permanent","Bengaluru","Karnataka","762971"
15,"Riya Yadav","F",23,"riya.yadav15@outlook.com","9255751284","Lawyer",2628153.00,"2026-05-15","Inactive",100100000014,"Salary Account",72557.00,"Active",True,"2025-02-12","SBI Surat Branch 44","Surat","Gujarat","Permanent","Delhi","Delhi","657221"
16,"Amit Verma","M",46,"amit.verma16@yahoo.com","9747955197","Nurse",4343910.00,"2023-07-20","Active",100100000015,"Recurring Deposit Account",184772.00,"Active",False,"2017-09-19","SBI Noida Branch 32","Noida","Uttar Pradesh","Permanent","Mumbai","Maharashtra","767143"
17,"Komal Patel","F",32,"komal.patel17@outlook.com","9718075219","Teacher",900561.00,"2015-02-18","Active",100100000016,"Student Account",177022.00,"Active",False,"2016-03-22","SBI Chennai Branch 40","Chennai","Tamil Nadu","Permanent","Hyderabad","Telangana","139318"
18,"Vivek Verma","M",62,"vivek.verma18@outlook.com","9994025519","Farmer",2019662.00,"2024-05-04","Blocked",100100000017,"NRI Savings Account",408409.00,"Active",True,"2016-02-26","SBI Bengaluru Branch 38","Bengaluru","Karnataka","Permanent","Pune","Maharashtra","280350"
19,"Vikas Yadav","M",59,"vikas.yadav19@gmail.com","9588767408","Sales Executive",4268450.00,"2017-09-15","Active",100100000018,"Savings Account",402304.00,"Active",True,"2016-07-03","SBI Bhubaneswar Branch 22","Bhubaneswar","Odisha","Permanent","Jaipur","Rajasthan","788032"
20,"Karan Sinha","M",50,"karan.sinha20@outlook.com","9383319266","Civil Engineer",3660402.00,"2024-05-14","Inactive",100100000019,"NRI Savings Account",186264.00,"Active",True,"2017-06-23","SBI Kolkata Branch 42","Kolkata","West Bengal","Permanent","Mumbai","Maharashtra","493025"
21,"Anjali Yadav","F",55,"anjali.yadav21@outlook.com","9407941226","Nurse",1570907.00,"2026-04-09","Inactive",100100000020,"Student Account",352535.00,"Active",True,"2018-09-09","SBI Lucknow Branch 19","Lucknow","Uttar Pradesh","Permanent","Chennai","Tamil Nadu","323595"
22,"Asha Pandey","F",55,"asha.pandey22@yahoo.com","9500586265","Designer",2921916.00,"2025-01-28","Active",100100000021,"Student Account",315603.00,"Active",True,"2018-01-17","SBI Gurugram Branch 33","Gurugram","Haryana","Permanent","Mumbai","Maharashtra","142608"
23,"Asha Agarwal","F",46,"asha.agarwal23@outlook.com","9962305585","Student",1487738.00,"2019-01-21","Active",100100000022,"Student Account",82143.00,"Active",True,"2025-03-12","SBI Bengaluru Branch 38","Bengaluru","Karnataka","Permanent","Lucknow","Uttar Pradesh","314187"
24,"Riya Patel","F",50,"riya.patel24@gmail.com","9474250586","Lawyer",3222143.00,"2015-08-11","Blocked",100100000023,"NRI Savings Account",19928.00,"Frozen",True,"2020-07-23","SBI Nagpur Branch 34","Nagpur","Maharashtra","Permanent","Jaipur","Rajasthan","346209"
25,"Riya Reddy","F",58,"riya.reddy25@yahoo.com","9190237037","Electrician",2307816.00,"2023-06-13","Active",100100000024,"Savings Account",215130.00,"Active",False,"2022-11-01","SBI Gurugram Branch 33","Gurugram","Haryana","Permanent","Chennai","Tamil Nadu","534149"
26,"Rahul Patel","M",45,"rahul.patel26@outlook.com","9067288038","Bank Manager",1864059.00,"2015-03-01","Inactive",100100000025,"Savings Account",13808.00,"Frozen",True,"2021-04-07","SBI Chennai Branch 21","Chennai","Tamil Nadu","Permanent","Pune","Maharashtra","462849"
27,"Sakshi Sinha","F",30,"sakshi.sinha27@gmail.com","9208898641","Civil Engineer",2387411.00,"2021-07-08","Inactive",100100000026,"Student Account",420986.00,"Frozen",False,"2022-01-03","SBI Bhopal Branch 37","Bhopal","Madhya Pradesh","Permanent","Chennai","Tamil Nadu","302935"
28,"Nitin Reddy","M",43,"nitin.reddy28@outlook.com","9302556231","Data Analyst",3743844.00,"2018-11-18","Active",100100000027,"Savings Account",485635.00,"Active",False,"2024-02-09","SBI Gurugram Branch 45","Gurugram","Haryana","Permanent","Chennai","Tamil Nadu","515135"
29,"Mohit Yadav","M",49,"mohit.yadav29@outlook.com","9550051261","Teacher",1449963.00,"2022-01-24","Active",100100000028,"Student Account",372934.00,"Dormant",True,"2016-01-05","SBI Bhopal Branch 39","Bhopal","Madhya Pradesh","Permanent","Bengaluru","Karnataka","149104"
30,"Vikas Gupta","M",52,"vikas.gupta30@outlook.com","9784902036","Civil Engineer",3497467.00,"2024-12-18","Active",100100000029,"Savings Account",38343.00,"Active",False,"2025-04-01","SBI Bhopal Branch 39","Bhopal","Madhya Pradesh","Permanent","Lucknow","Uttar Pradesh","241617"
31,"Suresh Verma","M",62,"suresh.verma31@outlook.com","9480633802","Teacher",4823351.00,"2015-12-22","Active",100100000030,"Recurring Deposit Account",260431.00,"Active",True,"2020-12-20","SBI Patna Branch 9","Patna","Bihar","Permanent","Chennai","Tamil Nadu","413114"
32,"Ankit Reddy","M",24,"ankit.reddy32@yahoo.com","9393095449","Software Engineer",3403958.00,"2020-10-26","Active",100100000031,"Recurring Deposit Account",50453.00,"Active",False,"2025-08-06","SBI Bengaluru Branch 7","Bengaluru","Karnataka","Permanent","Hyderabad","Telangana","135584"
33,"Deepak Jain","M",50,"deepak.jain33@gmail.com","9653226624","Bank Manager",2976527.00,"2025-06-27","Active",100100000032,"Student Account",472568.00,"Active",True,"2020-01-22","SBI Lucknow Branch 19","Lucknow","Uttar Pradesh","Permanent","Lucknow","Uttar Pradesh","403909"
