"customer_id","customer_name","total_accounts","total_account_balance","total_loans","total_loan_amount","total_fixed_deposits","total_fd_amount","total_cards","debit_cards","credit_cards"
1,"Vivek Yadav",1,313070.00,1,1471094.00,0,0,1,1,0
2,"Neha Gupta",1,471428.00,1,346135.00,0,0,1,1,0
3,"Amit Kumar",2,689877.00,1,406910.00,1,1000000.00,2,1,1
4,"Ankit Chauhan",1,338854.00,1,291057.00,1,200000.00,1,1,0
5,"Amit Reddy",3,831239.00,1,5971492.00,0,0,2,1,1
6,"Meena Singh",1,455458.00,1,558795.00,0,0,1,1,0
7,"Neha Gupta",1,410178.00,1,1927552.00,1,100000.00,1,1,0
8,"Neha Gupta",1,397228.00,1,354638.00,1,500000.00,1,1,0
9,"Rohit Chauhan",1,94929.00,1,752631.00,1,1000000.00,1,1,0
10,"Divya Patel",1,165239.00,1,762954.00,1,300000.00,1,1,0
11,"Komal Pandey",1,468660.00,1,487164.00,1,100000.00,1,1,0
12,"Vivek Mishra",1,450876.00,1,631266.00,1,750000.00,1,1,0
13,"Nitin Yadav",1,448082.00,1,836791.00,0,0,1,1,0
14,"Sneha Nair",1,570328.00,1,1722976.00,1,75000.00,1,1,0
15,"Riya Yadav",1,72557.00,1,568555.00,0,0,1,1,0
16,"Amit Verma",1,184772.00,1,1565102.00,1,750000.00,1,1,0
17,"Komal Patel",2,304472.00,1,642564.00,0,0,2,1,1
18,"Vivek Verma",2,753713.00,1,2012312.00,2,200000.00,2,1,1
19,"Vikas Yadav",1,402304.00,1,1079793.00,0,0,1,1,0
20,"Karan Sinha",1,186264.00,1,5183434.00,1,750000.00,1,1,0
21,"Anjali Yadav",1,352535.00,1,1111188.00,0,0,1,1,0
22,"Asha Pandey",1,315603.00,1,7657131.00,0,0,1,1,0
23,"Asha Agarwal",1,82143.00,1,748773.00,0,0,1,1,0
24,"Riya Patel",1,19928.00,1,60812.00,1,25000.00,1,1,0
25,"Riya Reddy",1,215130.00,1,1279817.00,0,0,1,1,0
26,"Rahul Patel",1,13808.00,1,2495727.00,0,0,1,1,0
27,"Sakshi Sinha",1,420986.00,1,766515.00,0,0,1,1,0
28,"Nitin Reddy",1,485635.00,1,1537025.00,0,0,1,1,0
29,"Mohit Yadav",1,372934.00,1,5579290.00,1,1000000.00,1,1,0
30,"Vikas Gupta",2,538265.00,1,783803.00,0,0,2,1,1
31,"Suresh Verma",1,260431.00,1,6063222.00,0,0,1,1,0
32,"Ankit Reddy",1,50453.00,1,391337.00,0,0,1,1,0
33,"Deepak Jain",2,702772.00,1,507851.00,1,100000.00,2,2,0
34,"Rahul Sharma",1,447165.00,1,759330.00,1,75000.00,1,1,0
35,"Ankit Gupta",1,50209.00,1,1034456.00,0,0,1,1,0
36,"Sakshi Agarwal",1,152359.00,1,574448.00,1,1000000.00,1,1,0
37,"Neha Pandey",1,239773.00,1,637229.00,1,75000.00,1,1,0
38,"Neha Patel",1,307847.00,1,382399.00,0,0,1,1,0
39,"Riya Reddy",1,355901.00,1,986285.00,0,0,1,1,0
40,"Sneha Nair",1,304954.00,1,7116931.00,1,200000.00,1,1,0
41,"Vivek Patel",1,226397.00,1,353460.00,0,0,1,1,0
42,"Pooja Gupta",3,2452561.00,1,691852.00,1,500000.00,3,2,1
43,"Shreya Singh",1,23683.00,1,628950.00,1,50000.00,1,1,0
44,"Meena Reddy",1,252793.00,1,76092.00,1,200000.00,1,1,0
45,"Vikas Patel",1,524573.00,1,1822108.00,0,0,1,1,0
46,"Priya Mishra",2,1731680.00,1,375519.00,1,150000.00,2,1,1
47,"Priya Sharma",3,645574.00,1,298670.00,2,125000.00,3,2,1
48,"Divya Yadav",1,247977.00,1,1623118.00,0,0,1,1,0
49,"Amit Sinha",1,224757.00,1,1991671.00,0,0,1,1,0
50,"Suresh Chauhan",3,1552655.00,1,7850619.00,0,0,3,2,1
51,"Rohit Yadav",4,1588206.00,1,6375659.00,3,200000.00,3,2,1
52,"Harsh Mishra",1,353691.00,1,1616178.00,0,0,1,1,0
53,"Arjun Jain",1,318880.00,1,6570579.00,0,0,1,1,0
54,"Meena Singh",2,269318.00,1,2167175.00,0,0,2,1,1
55,"Vikas Kumar",3,983641.00,1,98018.00,0,0,3,1,2
56,"Vikas Reddy",1,394485.00,1,1050602.00,1,500000.00,1,1,0
57,"Divya Chauhan",1,287014.00,1,7471907.00,0,0,1,1,0
58,"Kavita Sharma",1,982827.00,1,254714.00,0,0,1,1,0
59,"Nitin Nair",1,392616.00,1,829944.00,1,75000.00,1,1,0
60,"Rahul Sinha",1,309105.00,1,780860.00,1,50000.00,1,1,0
61,"Sakshi Pandey",2,154263.00,1,969659.00,1,500000.00,2,1,1
62,"Ritu Yadav",2,550659.00,1,6871926.00,0,0,1,1,0
63,"Rajesh Kumar",1,164706.00,1,477085.00,0,0,1,1,0
64,"Riya Singh",1,362706.00,1,1653907.00,0,0,1,1,0
65,"Amit Sharma",1,153984.00,1,2466758.00,0,0,1,1,0
66,"Harsh Sinha",1,205063.00,1,387433.00,0,0,1,1,0
67,"Pooja Kumar",1,353515.00,1,1859068.00,0,0,1,1,0
68,"Vikas Patel",1,1211771.00,1,945442.00,0,0,1,1,0
69,"Ritu Pandey",2,542288.00,1,587891.00,0,0,2,1,1
70,"Asha Reddy",1,187853.00,1,643500.00,1,300000.00,1,1,0
71,"Sakshi Reddy",1,262059.00,1,4899283.00,1,75000.00,1,1,0
72,"Anjali Singh",2,236290.00,1,456970.00,0,0,2,2,0
73,"Karan Yadav",2,2101982.00,1,152815.00,0,0,2,1,1
74,"Rahul Kumar",1,1994609.00,1,770079.00,1,200000.00,1,1,0
75,"Neha Chauhan",3,423692.00,1,517159.00,2,850000.00,2,1,1
76,"Harsh Kumar",1,194853.00,1,2243433.00,0,0,1,1,0
77,"Anjali Mishra",4,1321088.00,1,2227360.00,3,1250000.00,4,1,3
78,"Sneha Verma",2,184398.00,1,6088222.00,1,200000.00,2,2,0
79,"Vikas Agarwal",1,215659.00,1,149981.00,1,500000.00,1,1,0
80,"Arjun Patel",1,104353.00,1,2650840.00,0,0,1,1,0
81,"Karan Reddy",1,403267.00,1,5015757.00,0,0,1,1,0
82,"Meena Gupta",3,797921.00,1,1205479.00,0,0,2,2,0
83,"Nitin Verma",2,948252.00,1,4672628.00,0,0,1,1,0
84,"Karan Patel",1,39377.00,1,1383733.00,0,0,1,1,0
85,"Kavita Nair",1,1650695.00,1,927461.00,0,0,1,1,0
86,"Komal Verma",2,116831.00,1,780175.00,0,0,2,1,1
87,"Rajesh Agarwal",2,1643802.00,1,685925.00,0,0,1,1,0
88,"Arjun Kumar",2,429102.00,1,6371459.00,2,600000.00,2,1,1
89,"Rahul Kumar",1,157821.00,1,5212804.00,1,75000.00,1,1,0
90,"Sakshi Jain",3,1484233.00,1,996586.00,3,325000.00,1,1,0
91,"Amit Chauhan",1,233252.00,1,5764534.00,0,0,1,1,0
92,"Ritu Chauhan",3,843605.00,1,517645.00,2,1050000.00,2,1,1
93,"Arjun Sinha",1,154969.00,1,1954996.00,0,0,1,1,0
94,"Shreya Mishra",3,1023307.00,1,1386804.00,2,775000.00,3,1,2
95,"Rahul Kumar",2,529273.00,1,1012179.00,0,0,2,1,1
96,"Manish Yadav",1,232252.00,1,545946.00,0,0,1,1,0
97,"Riya Kumar",1,93833.00,1,58197.00,1,150000.00,1,1,0
98,"Suresh Sharma",1,699025.00,1,1950452.00,0,0,1,1,0
99,"Komal Jain",1,84076.00,1,6678635.00,1,100000.00,1,1,0
100,"Pooja Mishra",1,405981.00,1,1336800.00,0,0,1,1,0
101,"Rohit Yadav",1,351721.00,0,0,0,0,1,1,0
102,"Asha Sinha",2,245285.00,0,0,0,0,2,1,1
103,"Vikas Nair",1,180603.00,0,0,1,50000.00,1,1,0
104,"Harsh Pandey",1,231213.00,0,0,0,0,1,1,0
105,"Mohit Agarwal",1,71465.00,0,0,0,0,1,1,0
106,"Arjun Nair",3,1251796.00,0,0,1,1000000.00,2,1,1
107,"Nitin Chauhan",2,382442.00,0,0,2,125000.00,2,2,0
108,"Sakshi Chauhan",1,2261.00,0,0,0,0,1,1,0
109,"Kavita Jain",1,305607.00,0,0,0,0,1,1,0
110,"Rajesh Gupta",1,316057.00,0,0,0,0,1,1,0
111,"Shreya Singh",3,441223.00,0,0,0,0,3,2,1
112,"Mohit Mishra",1,27558.00,0,0,0,0,1,1,0
113,"Manish Yadav",2,647304.00,0,0,2,1050000.00,2,1,1
114,"Harsh Reddy",3,3064887.00,0,0,1,750000.00,2,2,0
115,"Nidhi Agarwal",2,1220899.00,0,0,0,0,2,1,1
116,"Riya Sinha",2,298643.00,0,0,0,0,2,2,0
117,"Priya Patel",2,494048.00,0,0,1,100000.00,2,2,0
118,"Sneha Singh",1,324754.00,0,0,0,0,1,1,0
119,"Meena Yadav",1,218923.00,0,0,1,500000.00,1,1,0
120,"Nidhi Agarwal",2,191393.00,0,0,1,25000.00,1,1,0
121,"Manish Agarwal",1,403512.00,0,0,1,750000.00,1,1,0
122,"Ritu Pandey",1,416983.00,0,0,1,200000.00,1,1,0
123,"Neha Patel",1,219634.00,0,0,0,0,1,1,0
124,"Asha Sinha",2,539732.00,0,0,0,0,2,2,0
125,"Vivek Kumar",1,366487.00,0,0,0,0,1,1,0
