"loan_id","customer_id","customer_name","account_no","loan_type","principal_amount","interest_rate","tenure_months","emi_amount","sanction_date","outstanding_balance","loan_status","installments_paid","total_amount_paid","last_payment_date"
12,12,"Vivek Mishra",100100000011,"Personal",631266.00,11.50,40,19073.83,"2025-10-20",583921.05,"Active",12,780208.92,"2024-03-07"
67,67,"Pooja Kumar",100100000066,"Education",1859068.00,8.00,53,41753.41,"2022-06-06",666458.34,"Active",12,491290.92,"2023-11-02"
18,18,"Vivek Verma",100100000017,"Education",2012312.00,8.00,45,51908.42,"2025-04-02",760206.76,"Active",12,784466.64,"2026-10-21"
47,47,"Priya Sharma",100100000046,"Gold",298670.00,7.50,11,28180.58,"2019-07-04",271518.18,"Active",12,630972.12,"2024-03-10"
1,1,"Vivek Yadav",100100000000,"Home",1471094.00,8.50,235,12870.60,"2023-04-10",913956.27,"Active",12,102061.68,"2026-02-26"
94,94,"Shreya Mishra",100100000093,"Education",1386804.00,8.00,31,49665.83,"2018-11-01",1028919.10,"Active",12,314096.76,"2025-09-29"
7,7,"Neha Gupta",100100000006,"Home",1927552.00,8.50,206,17815.76,"2021-05-08",542708.82,"Defaulted",12,538479.48,"2025-12-13"
54,54,"Meena Singh",100100000053,"Education",2167175.00,8.00,49,51990.55,"2018-08-15",44228.06,"Active",12,208620.24,"2025-02-07"
98,98,"Suresh Sharma",100100000097,"Home",1950452.00,8.50,337,15226.83,"2019-09-28",1313805.95,"Active",12,86266.68,"2025-02-14"
57,57,"Divya Chauhan",100100000056,"Home",7471907.00,8.50,299,60224.17,"2019-02-12",6472320.78,"Active",12,828632.76,"2026-07-22"
37,37,"Neha Pandey",100100000036,"Personal",637229.00,11.50,21,33644.66,"2023-03-16",182065.43,"Active",12,199257.72,"2023-11-05"
11,11,"Komal Pandey",100100000010,"Education",487164.00,8.00,82,7731.42,"2020-01-15",302992.24,"Active",12,836871.36,"2023-08-16"
22,22,"Asha Pandey",100100000021,"Home",7657131.00,8.50,160,80144.48,"2019-02-03",1052855.51,"Active",12,749425.68,"2023-03-22"
42,42,"Pooja Gupta",100100000041,"Gold",691852.00,7.50,6,117844.14,"2018-11-17",576543.33,"Defaulted",12,274940.76,"2026-07-06"
38,38,"Neha Patel",100100000037,"Gold",382399.00,7.50,30,14018.63,"2022-11-25",63733.17,"Active",12,473699.40,"2025-05-07"
81,81,"Karan Reddy",100100000080,"Home",5015757.00,8.50,296,40547.06,"2022-05-09",3761817.75,"Active",12,206033.52,"2024-06-05"
41,41,"Vivek Patel",100100000040,"Gold",353460.00,7.50,13,28393.58,"2019-08-16",190324.62,"Active",12,493391.52,"2026-11-17"
28,28,"Nitin Reddy",100100000027,"Car",1537025.00,9.00,68,28937.82,"2024-08-01",158223.16,"Active",12,330172.32,"2024-03-08"
13,13,"Nitin Yadav",100100000012,"Personal",836791.00,11.50,14,64155.56,"2018-03-24",777020.21,"Active",12,276357.00,"2025-08-21"
84,84,"Karan Patel",100100000083,"Car",1383733.00,9.00,46,35679.49,"2019-11-28",240649.22,"Active",12,787634.76,"2023-07-28"
91,91,"Amit Chauhan",100100000090,"Home",5764534.00,8.50,239,50105.88,"2018-09-19",5330385.00,"Active",12,330759.12,"2026-09-05"
87,87,"Rajesh Agarwal",100100000086,"Car",685925.00,9.00,62,13874.86,"2019-04-05",685925.00,"Active",12,345553.08,"2024-05-17"
14,14,"Sneha Nair",100100000013,"Education",1722976.00,8.00,87,26163.80,"2024-12-19",1386302.53,"Active",12,887703.72,"2023-12-16"
51,51,"Rohit Yadav",100100000050,"Home",6375659.00,8.50,247,54735.32,"2021-01-08",438810.54,"Active",12,419790.24,"2024-12-12"
86,86,"Komal Verma",100100000085,"Gold",780175.00,7.50,26,32604.25,"2020-04-24",30006.73,"Defaulted",12,438982.56,"2024-11-05"
48,48,"Divya Yadav",100100000047,"Car",1623118.00,9.00,57,35099.86,"2021-12-10",1395311.96,"Active",12,557738.64,"2024-11-18"
31,31,"Suresh Verma",100100000030,"Home",6063222.00,8.50,337,47334.49,"2025-11-24",5217609.44,"Active",12,167177.16,"2025-04-06"
35,35,"Ankit Gupta",100100000034,"Education",1034456.00,8.00,71,18336.62,"2019-03-25",786769.35,"Active",12,487933.92,"2026-07-13"
16,16,"Amit Verma",100100000015,"Car",1565102.00,9.00,57,33845.26,"2019-01-09",521700.67,"Active",12,66648.84,"2025-06-06"
40,40,"Sneha Nair",100100000039,"Home",7116931.00,8.50,276,58792.01,"2019-01-17",2140236.50,"Active",12,247811.28,"2025-09-15"
69,69,"Ritu Pandey",100100000068,"Personal",587891.00,11.50,58,13259.92,"2021-06-06",152040.78,"Active",12,276302.76,"2025-06-03"
96,96,"Manish Yadav",100100000095,"Personal",545946.00,11.50,24,25572.28,"2022-08-23",227477.50,"Active",12,774467.76,"2025-06-09"
75,75,"Neha Chauhan",100100000074,"Gold",517159.00,7.50,13,41543.59,"2019-02-20",119344.38,"Active",12,693741.60,"2026-03-17"
43,43,"Shreya Singh",100100000042,"Car",628950.00,9.00,78,10680.04,"2024-01-18",217713.46,"Active",12,721067.28,"2023-09-02"
15,15,"Riya Yadav",100100000014,"Personal",568555.00,11.50,35,19197.76,"2025-11-27",406110.71,"Defaulted",12,646436.52,"2023-12-22"
95,95,"Rahul Kumar",100100000094,"Car",1012179.00,9.00,60,21011.17,"2019-08-24",674786.00,"Active",12,846069.72,"2024-04-05"
97,97,"Riya Kumar",100100000096,"Gold",58197.00,7.50,36,1810.29,"2018-03-25",46880.92,"Active",12,570083.64,"2023-10-22"
85,85,"Kavita Nair",100100000084,"Personal",927461.00,11.50,12,82187.01,"2018-05-18",927461.00,"Active",12,420673.44,"2023-06-15"
10,10,"Divya Patel",100100000009,"Personal",762954.00,11.50,23,37119.98,"2021-09-28",33171.91,"Active",12,364574.40,"2023-04-21"
99,99,"Komal Jain",100100000098,"Home",6678635.00,8.50,121,82370.78,"2019-12-09",938320.62,"Active",12,341736.72,"2026-05-23"
46,46,"Priya Mishra",100100000045,"Education",375519.00,8.00,108,4888.77,"2023-04-24",243391.94,"Defaulted",12,716572.44,"2025-02-05"
62,62,"Ritu Yadav",100100000061,"Home",6871926.00,8.50,211,62850.67,"2022-05-26",2540332.83,"Defaulted",12,137020.32,"2024-02-16"
32,32,"Ankit Reddy",100100000031,"Education",391337.00,8.00,113,4940.87,"2019-06-17",263200.11,"Active",12,293312.64,"2023-08-12"
63,63,"Rajesh Kumar",100100000062,"Education",477085.00,8.00,28,18735.05,"2024-03-05",119271.25,"Active",12,223944.60,"2026-02-02"
3,3,"Amit Kumar",100100000002,"Car",406910.00,9.00,38,12346.29,"2022-03-12",192746.84,"Active",12,187577.64,"2023-03-20"
71,71,"Sakshi Reddy",100100000070,"Home",4899283.00,8.50,279,40331.84,"2021-07-21",614605.39,"Active",12,294865.80,"2024-08-15"
26,26,"Rahul Patel",100100000025,"Education",2495727.00,8.00,65,47439.71,"2020-03-16",1612623.60,"Active",12,61415.16,"2025-10-11"
83,83,"Nitin Verma",100100000082,"Home",4672628.00,8.50,293,37887.77,"2023-05-17",956852.15,"Defaulted",12,83320.32,"2026-07-12"
25,25,"Riya Reddy",100100000024,"Car",1279817.00,9.00,42,35635.89,"2024-03-15",1188401.50,"Active",12,204353.76,"2026-08-22"
30,30,"Vikas Gupta",100100000029,"Education",783803.00,8.00,61,15680.70,"2021-07-01",642461.48,"Active",12,295967.64,"2025-01-01"
88,88,"Arjun Kumar",100100000087,"Home",6371459.00,8.50,327,50115.20,"2025-06-22",5494652.72,"Active",12,280618.20,"2024-04-12"
72,72,"Anjali Singh",100100000071,"Personal",456970.00,11.50,55,10728.51,"2019-01-01",257564.91,"Active",12,241478.64,"2023-10-03"
44,44,"Meena Reddy",100100000043,"Gold",76092.00,7.50,24,3424.11,"2025-04-27",76092.00,"Active",12,474285.24,"2024-04-12"
60,60,"Rahul Sinha",100100000059,"Gold",780860.00,7.50,13,62726.79,"2025-12-16",180198.46,"Active",12,412187.40,"2025-03-16"
9,9,"Rohit Chauhan",100100000008,"Personal",752631.00,11.50,34,26043.04,"2024-02-28",22136.21,"Active",12,229690.68,"2025-06-27"
73,73,"Karan Yadav",100100000072,"Gold",152815.00,7.50,14,11433.92,"2024-03-25",98238.21,"Active",12,766807.32,"2023-05-20"
80,80,"Arjun Patel",100100000079,"Home",2650840.00,8.50,200,24828.32,"2023-12-11",2200197.20,"Active",12,347337.12,"2023-06-14"
50,50,"Suresh Chauhan",100100000049,"Home",7850619.00,8.50,176,78181.78,"2018-01-27",7716801.63,"Defaulted",12,890667.24,"2025-12-19"
82,82,"Meena Gupta",100100000081,"Car",1205479.00,9.00,43,32901.60,"2025-10-07",140171.98,"Active",12,526256.16,"2025-05-07"
23,23,"Asha Agarwal",100100000022,"Personal",748773.00,11.50,54,17827.00,"2022-03-06",318921.83,"Active",12,508922.16,"2024-06-17"
36,36,"Sakshi Agarwal",100100000035,"Personal",574448.00,11.50,15,41297.92,"2019-03-18",191482.67,"Active",12,566375.16,"2023-04-11"
17,17,"Komal Patel",100100000016,"Gold",642564.00,7.50,15,45010.61,"2019-05-02",257025.60,"Active",12,275537.28,"2023-11-14"
79,79,"Vikas Agarwal",100100000078,"Personal",149981.00,11.50,32,5464.49,"2019-09-19",32808.34,"Active",12,771390.72,"2025-01-19"
49,49,"Amit Sinha",100100000048,"Education",1991671.00,8.00,57,42114.91,"2024-06-14",489182.35,"Active",12,177349.92,"2026-03-22"
59,59,"Nitin Nair",100100000058,"Personal",829944.00,11.50,13,68206.24,"2018-05-17",766102.15,"Active",12,671440.32,"2025-08-17"
6,6,"Meena Singh",100100000005,"Personal",558795.00,11.50,24,26174.13,"2018-12-09",256114.38,"Active",12,200627.40,"2025-10-20"
39,39,"Riya Reddy",100100000038,"Gold",986285.00,7.50,7,144442.25,"2021-05-27",986285.00,"Active",12,554255.52,"2025-12-14"
45,45,"Vikas Patel",100100000044,"Car",1822108.00,9.00,50,43836.03,"2023-05-22",874611.84,"Active",12,102903.60,"2024-06-09"
64,64,"Riya Singh",100100000063,"Car",1653907.00,9.00,56,36278.09,"2022-03-26",797419.45,"Active",12,115189.92,"2026-01-04"
65,65,"Amit Sharma",100100000064,"Education",2466758.00,8.00,66,46321.16,"2022-05-06",560626.82,"Active",12,830160.72,"2023-10-15"
100,100,"Pooja Mishra",100100000099,"Home",1336800.00,8.50,301,10753.93,"2019-04-23",937092.36,"Active",12,184005.72,"2026-09-04"
93,93,"Arjun Sinha",100100000092,"Home",1954996.00,8.50,249,16734.00,"2023-10-26",149176.40,"Active",12,421235.40,"2026-10-03"
20,20,"Karan Sinha",100100000019,"Home",5183434.00,8.50,171,52384.00,"2020-11-12",788124.47,"Active",12,760810.92,"2023-04-20"
70,70,"Asha Reddy",100100000069,"Education",643500.00,8.00,30,23737.64,"2022-10-13",557700.00,"Active",12,716856.12,"2024-03-20"
24,24,"Riya Patel",100100000023,"Personal",60812.00,11.50,34,2104.26,"2022-02-19",7154.35,"Active",12,511459.92,"2025-05-30"
61,61,"Sakshi Pandey",100100000060,"Personal",969659.00,11.50,13,79688.27,"2018-03-08",522124.08,"Active",12,639370.20,"2026-07-17"
78,78,"Sneha Verma",100100000077,"Home",6088222.00,8.50,273,50473.55,"2018-01-10",3635092.26,"Active",12,522964.92,"2023-06-28"
74,74,"Rahul Kumar",100100000073,"Personal",770079.00,11.50,22,38989.96,"2022-12-09",245025.14,"Active",12,852614.64,"2025-11-13"
66,66,"Harsh Sinha",100100000065,"Gold",387433.00,7.50,22,18903.95,"2024-12-23",369822.41,"Active",12,746233.68,"2026-08-23"
29,29,"Mohit Yadav",100100000028,"Home",5579290.00,8.50,145,61687.15,"2023-12-18",38477.86,"Active",12,671121.36,"2026-04-12"
